time,close,high,low,open,volumefrom,volumeto
2020-05-22 19:00:00,9173.72,9221.72,9141.51,9200.25,1897.32,17421127.14
2020-05-22 20:00:00,9177.79,9208.0,9130.6,9173.72,1768.75,16222468.23
2020-05-22 21:00:00,9205.0,9208.0,9160.0,9177.79,952.02,8746928.28
2020-05-22 22:00:00,9196.33,9215.0,9173.09,9205.0,1079.56,9929076.14
2020-05-22 23:00:00,9170.0,9197.04,9131.12,9196.33,1525.35,13978737.44
2020-05-23 00:00:00,9239.97,9252.0,9169.99,9170.0,2541.73,23429361.09
2020-05-23 01:00:00,9236.64,9267.32,9221.61,9239.97,1730.19,15991252.36
2020-05-23 02:00:00,9271.27,9289.0,9229.55,9236.64,1927.24,17858807.55
2020-05-23 03:00:00,9286.61,9307.85,9267.25,9271.27,1914.65,17788846.26
2020-05-23 04:00:00,9252.75,9300.0,9237.57,9286.61,1552.8,14394843.25
2020-05-23 05:00:00,9263.34,9268.08,9231.0,9252.75,1442.58,13345409.53
2020-05-23 06:00:00,9244.73,9263.43,9207.38,9263.34,2602.74,24024299.64
2020-05-23 07:00:00,9255.28,9268.11,9223.84,9244.73,1053.68,9743855.78
2020-05-23 08:00:00,9187.84,9255.7,9164.35,9255.28,3272.75,30099171.23
2020-05-23 09:00:00,9138.78,9200.0,9110.1,9187.84,2425.28,22226954.49
2020-05-23 10:00:00,9139.01,9153.64,9096.07,9138.78,2845.75,25963648.09
2020-05-23 11:00:00,9172.25,9187.86,9128.17,9139.01,1648.6,15110708.56
2020-05-23 12:00:00,9132.19,9173.44,9070.0,9172.25,2617.07,23880779.6
2020-05-23 13:00:00,9153.01,9175.0,9113.1,9132.19,1484.59,13589295.1
2020-05-23 14:00:00,9198.56,9220.0,9138.0,9153.01,2057.08,18903078.99
2020-05-23 15:00:00,9198.78,9212.62,9170.0,9198.56,1524.11,14004159.46
2020-05-23 16:00:00,9170.91,9209.06,9136.0,9198.78,1789.09,16398323.17
2020-05-23 17:00:00,9180.05,9198.93,9155.81,9170.91,1005.05,9226432.14
2020-05-23 18:00:00,9163.98,9205.29,9150.0,9180.05,1165.94,10696019.07
2020-05-23 19:00:00,9180.98,9197.0,9125.0,9163.98,1394.81,12790469.5
2020-05-23 20:00:00,9229.58,9247.63,9164.01,9180.98,2004.09,18462607.3
2020-05-23 21:00:00,9225.99,9239.92,9209.5,9229.58,978.36,9024973.23
2020-05-23 22:00:00,9225.0,9247.56,9209.87,9225.99,999.36,9224001.33
2020-05-23 23:00:00,9179.15,9229.78,9152.44,9225.0,1548.77,14229898.91
2020-05-24 00:00:00,9196.38,9212.0,9120.77,9179.15,2185.05,20034882.12
2020-05-24 01:00:00,9171.91,9212.23,9170.67,9196.38,1064.6,9785706.05
2020-05-24 02:00:00,9198.96,9231.0,9171.91,9171.91,1275.44,11744695.37
2020-05-24 03:00:00,9192.76,9216.59,9180.0,9198.96,874.08,8041110.35
2020-05-24 04:00:00,9190.54,9221.72,9190.0,9192.76,811.78,7474305.96
2020-05-24 05:00:00,9205.0,9216.33,9184.0,9190.54,681.24,6269800.42
