time,high,low,open,volumefrom,volumeto,close
2020-06-15 22:00:00,9458.95,9426.39,9435.14,5030.9,47484292.1,9434.77
2020-06-15 21:00:00,9492.18,9423.11,9476.39,8489.35,80394368.81,9435.14
2020-06-15 20:00:00,9483.3,9401.92,9416.73,7514.23,70922251.06,9476.39
2020-06-15 19:00:00,9448.32,9398.23,9414.92,8321.81,78398511.75,9416.73
2020-06-15 18:00:00,9445.17,9333.98,9334.04,14158.03,133161076.71,9414.92
2020-06-15 17:00:00,9383.05,9331.49,9357.53,11136.61,104125689.91,9334.04
2020-06-15 16:00:00,9395.44,9284.1,9298.31,15458.54,144621715.73,9357.53
2020-06-15 15:00:00,9305.56,9200.49,9200.6,15639.83,144944300.47,9298.31
2020-06-15 14:00:00,9232.8,9183.73,9183.8,14816.94,136438850.37,9200.6
2020-06-15 13:00:00,9184.95,9046.83,9098.76,13072.96,119121526.28,9183.8
2020-06-15 12:00:00,9134.99,9092.38,9116.32,6728.06,61308917.05,9098.76
2020-06-15 11:00:00,9139.54,9072.12,9091.35,8844.35,80582089.55,9116.32
2020-06-15 10:00:00,9148.19,9082.52,9146.06,8175.03,74531380.23,9091.35
2020-06-15 09:00:00,9146.23,9112.04,9141.24,7038.56,64261748.13,9146.06
2020-06-15 08:00:00,9156.97,9089.26,9120.97,12613.53,115118884.76,9141.24
2020-06-15 07:00:00,9128.16,9013.38,9051.27,16670.08,151229076.53,9120.97
2020-06-15 06:00:00,9076.56,8923.14,9044.3,20694.07,186268524.98,9051.27
2020-06-15 05:00:00,9191.6,9012.61,9189.94,20603.14,187559315.35,9044.3
2020-06-15 04:00:00,9221.69,9136.58,9164.79,9299.17,85490534.44,9189.94
2020-06-15 03:00:00,9269.6,9152.81,9268.14,14612.22,134509841.19,9164.79
2020-06-15 02:00:00,9286.93,9240.21,9252.39,8248.96,76431212.47,9268.14
2020-06-15 01:00:00,9343.17,9243.2,9342.07,12089.31,112273495.9,9252.39
2020-06-15 00:00:00,9368.5,9324.12,9341.8,5848.68,54645775.24,9342.07
2020-06-14 23:00:00,9387.62,9334.85,9387.57,6195.0,57976873.64,9341.8
2020-06-14 22:00:00,9401.18,9256.3,9345.7,14779.58,137993839.43,9387.57
2020-06-14 21:00:00,9384.15,9322.19,9381.78,4699.23,43955269.91,9345.7
2020-06-14 20:00:00,9408.16,9381.78,9394.91,2770.49,26028914.06,9381.78
2020-06-14 19:00:00,9402.51,9381.48,9383.86,4168.17,39133570.66,9394.91
2020-06-14 18:00:00,9397.28,9367.72,9396.68,4069.13,38173842.49,9383.86
2020-06-14 17:00:00,9410.28,9380.37,9394.29,6082.52,57136238.69,9396.68
2020-06-14 16:00:00,9429.36,9389.27,9418.46,4321.55,40648202.71,9394.29
2020-06-14 15:00:00,9433.66,9335.98,9347.68,9563.88,89809356.46,9418.46
2020-06-14 14:00:00,9415.65,9328.98,9407.65,7339.92,68734734.8,9347.68
2020-06-14 13:00:00,9418.96,9376.12,9410.25,6169.52,57971860.01,9407.65
2020-06-14 12:00:00,9436.37,9394.81,9429.57,5566.66,52416441.74,9410.25
2020-06-14 11:00:00,9444.22,9421.71,9425.62,4151.56,39168659.69,9429.57
2020-06-14 10:00:00,9430.01,9415.78,9419.07,2981.69,28098214.2,9425.62
2020-06-14 09:00:00,9433.6,9413.17,9432.56,3633.07,34234989.41,9419.07
2020-06-14 08:00:00,9435.21,9396.73,9413.96,5939.76,55966188.69,9432.56
2020-06-14 07:00:00,9418.85,9382.79,9401.31,7794.94,73290614.34,9413.96
2020-06-14 06:00:00,9438.99,9389.81,9432.79,6117.26,57613166.63,9401.31
2020-06-14 05:00:00,9441.14,9420.57,9428.84,6744.05,63604688.88,9432.79
2020-06-14 04:00:00,9444.06,9424.65,9435.61,3472.18,32757643.36,9428.84
2020-06-14 03:00:00,9449.39,9425.09,9447.52,3937.07,37146657.34,9435.61
2020-06-14 02:00:00,9459.52,9440.76,9444.61,3993.07,37728470.02,9447.52
2020-06-14 01:00:00,9457.75,9437.8,9454.68,4134.94,39057354.26,9444.61
2020-06-14 00:00:00,9479.63,9440.75,9473.23,5477.8,51801635.74,9454.68
2020-06-13 23:00:00,9474.14,9430.26,9437.4,5420.12,51236453.93,9473.23
2020-06-13 22:00:00,9446.73,9412.26,9426.15,4059.34,38283986.55,9437.4
2020-06-13 21:00:00,9426.59,9401.4,9402.67,2356.8,22188071.52,9426.15
2020-06-13 20:00:00,9422.84,9358.0,9403.64,7614.34,71518584.55,9402.67
2020-06-13 19:00:00,9488.22,9391.77,9443.72,10680.01,100837589.28,9403.64
2020-06-13 18:00:00,9451.57,9429.53,9429.61,7160.13,67616239.05,9443.72
2020-06-13 17:00:00,9447.76,9425.45,9431.63,5975.88,56390824.62,9429.61
2020-06-13 16:00:00,9445.38,9417.49,9437.56,5239.46,49426441.4,9431.63
2020-06-13 15:00:00,9462.49,9430.15,9447.51,6256.9,59087953.03,9437.56
2020-06-13 14:00:00,9455.91,9425.08,9428.84,5380.55,50793443.8,9447.51
2020-06-13 13:00:00,9433.12,9405.52,9421.13,6344.16,59763870.15,9428.84
2020-06-13 12:00:00,9444.41,9391.6,9403.67,7359.13,69350048.73,9421.13
2020-06-13 11:00:00,9424.75,9394.43,9416.32,6435.97,60572420.35,9403.67
2020-06-13 10:00:00,9447.19,9395.32,9442.36,6841.56,64486812.78,9416.32
2020-06-13 09:00:00,9465.99,9429.16,9439.83,7314.35,69074627.4,9442.36
2020-06-13 08:00:00,9445.69,9420.6,9437.6,4911.53,46325708.85,9439.83
2020-06-13 07:00:00,9446.66,9420.58,9428.95,6432.48,60675529.3,9437.6
2020-06-13 06:00:00,9434.34,9395.75,9412.58,5569.53,52445271.92,9428.95
2020-06-13 05:00:00,9413.32,9382.15,9406.98,5734.98,53886333.01,9412.58
2020-06-13 04:00:00,9409.77,9365.78,9409.77,7567.11,71059615.96,9406.98
2020-06-13 03:00:00,9431.12,9402.31,9427.27,6191.36,58327869.59,9409.77
2020-06-13 02:00:00,9442.43,9411.63,9442.35,5015.24,47284169.22,9427.27
2020-06-13 01:00:00,9447.67,9425.09,9447.67,4570.98,43136825.4,9442.35
2020-06-13 00:00:00,9477.06,9432.77,9466.63,5443.59,51440857.53,9447.67
2020-06-12 23:00:00,9484.6,9443.03,9477.18,5460.97,51658958.58,9466.63
2020-06-12 22:00:00,9484.25,9438.83,9438.83,4149.57,39257644.4,9477.18
2020-06-12 21:00:00,9474.42,9430.62,9465.49,3389.94,32057177.93,9438.83
2020-06-12 20:00:00,9482.99,9411.98,9431.2,5555.44,52459670.32,9465.49
2020-06-12 19:00:00,9444.42,9387.06,9394.93,8502.22,80060079.59,9431.2
2020-06-12 18:00:00,9411.62,9327.62,9336.22,7420.5,69622070.72,9394.93
2020-06-12 17:00:00,9420.89,9308.94,9419.83,13469.29,126229017.47,9336.22
2020-06-12 16:00:00,9454.7,9400.45,9418.62,6929.83,65288609.05,9419.83
2020-06-12 15:00:00,9443.0,9382.6,9418.8,11089.98,104391269.17,9418.62
2020-06-12 14:00:00,9551.32,9418.8,9539.61,11488.17,109055860.06,9418.8
2020-06-12 13:00:00,9541.41,9445.49,9459.69,9537.66,90490523.82,9539.61
2020-06-12 12:00:00,9503.9,9435.88,9495.73,8610.72,81456650.54,9459.69
2020-06-12 11:00:00,9513.75,9464.56,9464.63,7956.68,75543358.58,9495.73
2020-06-12 10:00:00,9482.47,9453.58,9454.21,6390.87,60513717.64,9464.63
2020-06-12 09:00:00,9479.63,9449.18,9473.83,6381.19,60373230.56,9454.21
2020-06-12 08:00:00,9486.42,9437.73,9438.09,12012.99,113689425.39,9473.83
2020-06-12 07:00:00,9457.92,9371.94,9371.94,11517.05,108583097.59,9438.09
2020-06-12 06:00:00,9394.56,9369.27,9382.99,7597.72,71263562.46,9371.94
2020-06-12 05:00:00,9393.2,9348.23,9362.25,7722.39,72383817.93,9382.99
2020-06-12 04:00:00,9388.23,9358.27,9364.43,5986.12,56110360.02,9362.25
2020-06-12 03:00:00,9391.45,9340.7,9356.91,10127.13,94874452.87,9364.43
2020-06-12 02:00:00,9356.93,9333.31,9337.5,6555.45,61250628.76,9356.91
2020-06-12 01:00:00,9352.74,9302.58,9316.37,12137.35,113168917.49,9337.5
2020-06-12 00:00:00,9333.44,9246.64,9283.38,10921.13,101531845.95,9316.37
2020-06-11 23:00:00,9331.31,9260.67,9325.34,9551.95,88766264.88,9283.38
2020-06-11 22:00:00,9356.27,9296.75,9354.13,7868.6,73445724.76,9325.34
2020-06-11 21:00:00,9370.85,9321.5,9338.53,6791.5,63469684.37,9354.13
2020-06-11 20:00:00,9347.46,9231.43,9284.21,13361.81,123938683.2,9338.53
2020-06-11 19:00:00,9332.29,9265.08,9317.13,11487.2,106805619.58,9284.21
2020-06-11 18:00:00,9391.63,9292.25,9380.21,16559.76,154735211.32,9317.13
2020-06-11 17:00:00,9392.0,9172.24,9227.71,38403.13,357077686.78,9380.21
2020-06-11 16:00:00,9560.76,9227.71,9524.32,30940.4,292085115.97,9227.71
2020-06-11 15:00:00,9616.8,9512.03,9616.8,23053.94,220268508.17,9524.32
2020-06-11 14:00:00,9672.12,9607.96,9635.2,15000.92,144564400.57,9616.8
2020-06-11 13:00:00,9736.59,9607.38,9713.18,26737.72,258436858.62,9635.2
2020-06-11 12:00:00,9792.04,9706.5,9786.19,14242.4,139004761.79,9713.18
2020-06-11 11:00:00,9800.69,9758.32,9797.92,11906.49,116447365.39,9786.19
2020-06-11 10:00:00,9802.9,9763.8,9794.61,8929.65,87421998.68,9797.92
2020-06-11 09:00:00,9815.38,9772.87,9804.46,8726.15,85485365.94,9794.61
2020-06-11 08:00:00,9821.83,9788.65,9797.11,9651.52,94663385.22,9804.46
2020-06-11 07:00:00,9832.1,9795.21,9830.27,11990.14,117635949.17,9797.11
2020-06-11 06:00:00,9886.37,9773.92,9883.69,17618.84,172991203.23,9830.27
2020-06-11 05:00:00,9888.02,9865.8,9887.9,10103.82,99792166.16,9883.69
2020-06-11 04:00:00,9899.21,9868.81,9888.5,8061.52,79699830.7,9887.9
2020-06-11 03:00:00,9931.04,9869.99,9916.43,10384.55,102786218.3,9888.5
2020-06-11 02:00:00,9944.58,9894.87,9929.88,12602.45,125012669.43,9916.43
2020-06-11 01:00:00,9952.3,9878.37,9889.22,13709.75,135951761.09,9929.88
2020-06-11 00:00:00,9898.66,9872.46,9882.32,8890.63,87895536.09,9889.22
2020-06-10 23:00:00,9898.08,9861.43,9890.09,9034.27,89245699.88,9882.32
2020-06-10 22:00:00,9903.01,9848.46,9848.53,9286.69,91743543.4,9890.09
2020-06-10 21:00:00,9868.52,9824.27,9861.6,5093.33,50162450.25,9848.53
2020-06-10 20:00:00,9896.88,9853.55,9853.68,9657.61,95364124.94,9861.6
2020-06-10 19:00:00,9903.19,9810.95,9818.21,18409.74,181279195.1,9853.68
2020-06-10 18:00:00,9979.2,9756.84,9773.27,36227.09,357468981.49,9818.21
2020-06-10 17:00:00,9776.27,9753.85,9764.59,6517.13,63621953.16,9773.27
2020-06-10 16:00:00,9775.16,9751.28,9758.31,7328.67,71559312.77,9764.59
2020-06-10 15:00:00,9761.89,9738.33,9749.37,7456.4,72698018.46,9758.31
2020-06-10 14:00:00,9757.8,9733.25,9748.86,7327.67,71418814.44,9749.37
2020-06-10 13:00:00,9776.15,9738.99,9763.26,7987.94,77953094.05,9748.86
2020-06-10 12:00:00,9769.32,9720.99,9728.42,8622.44,84081772.15,9763.26
2020-06-10 11:00:00,9745.39,9726.51,9741.16,5924.95,57698241.53,9728.42
2020-06-10 10:00:00,9744.35,9718.49,9724.14,6735.7,65564802.29,9741.16
2020-06-10 09:00:00,9738.91,9706.2,9738.91,10188.97,99093870.19,9724.14
2020-06-10 08:00:00,9764.17,9734.49,9747.56,7655.18,74603945.15,9738.91
2020-06-10 07:00:00,9784.51,9724.7,9778.48,7908.09,77125180.8,9747.56
2020-06-10 06:00:00,9779.25,9759.49,9768.56,6861.41,67013413.67,9778.48
2020-06-10 05:00:00,9778.44,9750.31,9750.31,7104.04,69364302.31,9768.56
2020-06-10 04:00:00,9755.55,9734.2,9752.8,6802.16,66307962.68,9750.31
2020-06-10 03:00:00,9774.23,9743.17,9774.21,7932.62,77412011.43,9752.8
2020-06-10 02:00:00,9789.06,9763.47,9787.76,4683.24,45769305.19,9774.21
2020-06-10 01:00:00,9808.31,9774.91,9775.13,6245.14,61144339.46,9787.76
2020-06-10 00:00:00,9792.1,9754.58,9769.04,6961.87,68033475.69,9775.13
2020-06-09 23:00:00,9793.25,9745.85,9771.35,7185.88,70208018.43,9769.04
2020-06-09 22:00:00,9826.74,9713.58,9811.21,10070.99,98390939.45,9771.35
2020-06-09 21:00:00,9820.57,9741.76,9742.93,9576.7,93702201.99,9811.21
2020-06-09 20:00:00,9761.33,9716.06,9730.6,5994.89,58353435.42,9742.93
2020-06-09 19:00:00,9740.14,9687.44,9703.73,5259.29,51057209.18,9730.6
2020-06-09 18:00:00,9710.65,9693.31,9703.62,7000.31,67923413.21,9703.73
2020-06-09 17:00:00,9717.19,9694.35,9703.84,7475.21,72532402.28,9703.62
2020-06-09 16:00:00,9723.22,9692.35,9718.15,7815.58,75860822.12,9703.84
2020-06-09 15:00:00,9726.74,9704.53,9713.88,6317.35,61364149.72,9718.15
